benchmarking,file,topic,description,started_at_time,ended_time,duration_secs,number_of_bytes
benchmarking,siumulator_no_flask,image_binning,,1517223213.2342474,1517223213.2342484,9.5367431640625e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.234268,1517223213.284743,0.050475120544433594,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.23106,1517223213.2847848,0.05372476577758789,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.2850487,1517223213.306605,0.021556377410888672,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.3167872,1517223213.3200567,0.0032694339752197266,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.3201053,1517223213.320106,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.3201256,1517223213.3711257,0.051000118255615234,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.3167872,1517223213.3711665,0.05437922477722168,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.371401,1517223213.3897946,0.018393516540527344,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.39999,1517223213.4030187,0.0030286312103271484,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.4030616,1517223213.4030623,7.152557373046875e-07,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.4030802,1517223213.4772394,0.07415914535522461,-1
benchmarking,siumulator_no_flask,prepare_image_bytes_method,,1517223213.39999,1517223213.47729,0.07729983329772949,-1
benchmarking,siumulator_no_flask,stream_file,,1517223213.4775834,1517223213.4995828,0.021999359130859375,-1
benchmarking,siumulator_no_flask,read_image_from_disk,,1517223213.5097907,1517223213.514632,0.004841327667236328,-1
benchmarking,siumulator_no_flask,image_binning,,1517223213.5147057,1517223213.514707,1.430511474609375e-06,-1
benchmarking,siumulator_no_flask,image_to_bytes,,1517223213.5147398,1517223213.5924933,0.07775354385375977,-1
